"usuario","senha"
"19296496063","205253"
"19175991454","577763"
"45140518295","630315"
"99438597506","631640"
"21721647805","717440"
"04002697916","278804"
"91859475809","491182"
"09656425340","754127"
"47776685925","706375"
"19551822560","929122"
"72807192289","530218"
"66754942100","513934"
"86434598360","320752"
"72962082440","934529"
"00336458258","770239"
"74163541373","252205"
"16134395986","017924"
"99286873239","901332"
"32157661247","627460"
"29769621030","124854"
"99416770183","827684"
"20112948430","817963"
"95969758892","575523"
"35277978585","667267"
"76949166486","774617"
"25814456884","932994"
"25329343011","103208"
"89924127706","382785"
"19063324014","164550"
"31724353500","641577"
"06762344887","188542"
"00978787587","261822"
"55215526770","509846"
"99171606041","363178"
"64202612795","106264"
"86078421450","795132"
"18061984016","284111"
"80341544310","891829"
"29662878882","936480"
"89983119412","284371"
"88604005200","362569"
"84051440567","331432"
"07343865161","071506"
"91914149467","457551"
"70935981454","492377"
"55761619040","102035"
"01510266534","124044"
"91282781600","553391"
"75778198833","203630"
"97949034939","896642"
"07404518636","851876"
"69022282805","115672"
"15159570551","218337"
"69174339346","371230"
"30277780217","111776"
"30370291700","205819"
"01780909489","938065"
"77374861435","152224"
"11000101142","745038"
"38172103107","913660"
"55051766072","908802"
"49810765681","601005"
"95319555814","408225"
"60910487324","631754"
"39505025726","065435"
"08853648309","033657"
"21526184249","377601"
"96634987220","881421"
"43003367099","828694"
"75082038524","526807"
"59080557277","120529"
"15200386071","521834"
"13833054808","939016"
"91072434644","792217"
"75586529955","587927"
"02777035652","967618"
"66097789220","676279"
"22514228549","287045"
"37138488157","876588"
"70952794705","536977"
"79787577225","982245"
"10056116373","736265"
"37980061489","209882"
"37158834646","713583"
"19388301803","792574"
"29866525228","590905"
"22966762861","689273"
"27126890389","685212"
"68551011944","041043"
"16579841176","526000"
"57820382414","068415"
"99268608693","381240"
"94356651790","720583"
"66719626426","580492"
"58940294149","539921"
"87922621396","290659"
"80777240947","820894"
"99008587513","413153"
"09839022083","963226"
"50842472606","765776"
"42360619888","196434"
"58816404116","475259"
"70864851600","747362"
"57500675992","300835"
"69720829001","352609"
"34738417495","522022"
"09347213519","020502"
"25634680433","201272"
"42194329064","679144"
"01458520080","649176"
"26866824931","233054"
"50303958570","598076"
"64118127644","832595"
"70325130930","549549"
"36884692677","485553"
"84548028862","934064"
"93639987705","731099"
"50128322055","058689"
"71343591236","666625"
"90866269045","133922"
"70948532890","441974"
"74803620644","637062"
"48253121601","437586"
"57788835447","870127"
"25833885094","620124"
"00896542424","875871"
"28124291276","855772"
"04524175628","302754"
"55717328060","129018"
"52658008082","394678"
"23699905462","205725"
"65724233100","330064"
"25469997537","575988"
"56860394021","592726"
"76349748700","483070"
"81697418902","980990"
"14091117252","480537"
"30560415974","720295"
"58638675747","223947"
"48017728972","793581"
"89498784027","827421"
"85401213956","508040"
"63709919967","827731"
"60503540226","055213"
"48577559041","604498"
"01361708115","219824"
"98082405341","788816"
"95853963430","089439"
"89666817942","379529"
"87718973131","431162"
"02174078465","421136"
"45758049751","116979"
"08646966470","814211"
"90386910766","577981"
"00673817822","305769"
"96189493467","551802"
"74940288200","668431"
"04631985658","491153"
"91849889163","844186"
"14958481834","164729"
"45443715895","435573"
"98500903910","043276"
"21106658400","009973"
"84920061706","305239"
"32339856302","627589"
"28004799906","049272"
"86992290460","958839"
"70050645773","102938"
"52908490846","467713"
"12428862650","262120"
"63561267440","850624"
"92544795190","856586"
"16218488845","673811"
"25518632959","770748"
"87177837043","398009"
"61154256545","929425"
"40010126422","305740"
"94469077992","389067"
"16906548565","556257"
"53996650000","942825"
"55053800189","853206"
"22185831437","606300"
"11082035580","247548"
"01808023137","112011"
"39049917100","273876"
"95514599701","439006"
"79770780316","267716"
"18312287930","386756"
"83271195080","331082"
"70564451878","001640"
"85462659687","861717"
"91653607700","299779"
"75064796803","423440"
"55258149862","005389"
"51072996600","995556"
"73119510890","359531"
"44840259305","046476"
"44321129486","510763"
"33175799272","434721"
"07619901868","093877"
"48604017356","699389"
"77925373318","712624"
"90167335588","884598"
"42437073248","694095"
"72173174959","557096"
"56301304470","848050"
"06458486707","726240"
"01241450358","239038"
"65159369589","775984"
"84035025674","473619"
"47494231064","887061"
"73423929286","067300"
"11583608273","935015"
"03147281809","997195"
"78747554649","057231"
"30735329273","471385"
"68971181508","526294"
"89218895079","256052"
"84838415680","639257"
"13915506508","785431"
"14536805940","063371"
"14717824172","143112"
"03528559594","355115"
"98126305118","346605"
"76116017096","422037"
"57935910790","577776"
"38181350707","273053"
"58406205130","369755"
"41579054404","607583"
"56901236689","859666"
"43251760394","798017"
"31389521192","652925"
"37443946465","599771"
"62088313931","038675"
"28973106503","652522"
"66863695510","216202"
"44407187603","958676"
"92524158829","269561"
"90549823069","485012"
"72169113428","243844"
"06679421810","948807"
